버스정류장ARS번호,역명,주소,아침,점심,오후,저녁
11801,청솔7단지앞,노원구,1968,375,904,431
11803,경춘선숲길방문자센터,노원구,1959,674,2311,1359
11503,수락리버시티3.4단지,노원구,1313,410,1681,1178
11152,한국스포츠정책과학원,노원구,2546,491,1147,543
11505,경춘선숲길방문자센터,노원구,3703,1568,4276,2722
21341,건설환경종합연구소앞,관악구,5237,1455,1841,179
11506,월계주공1단지아파트앞,노원구,1105,644,3028,2907
11508,중계본동종점,노원구,216,100,166,109
11509,불암산종합스타디움,노원구,345,179,484,383
11931,노원역8번출구,노원구,6447,2684,7732,4436
11430,상계중앙하이츠2단지,노원구,1512,536,1404,855
11170,공릉동.동신아파트앞,노원구,2805,1420,5662,3740
11461,북부여성발전센터앞,노원구,201,94,237,229
11432,그린아파트101동앞,노원구,417,93,247,171
11431,북부여성발전센터앞,노원구,123,119,376,71
11555,상계초등학교,노원구,7995,1869,4252,1558
11459,하계5단지아파트,노원구,422,174,579,438
11174,서울과학기술대학교후문,노원구,3660,1138,4500,3118
11504,7단지영업소,노원구,602,258,1109,520
11433,대진고등학교,노원구,4523,1458,5865,4517
11401,공릉신도2차아파트,노원구,598,230,1300,1298
11262,상계2동주민센터,노원구,4995,2307,7173,4341
11511,수락현대아파트,노원구,1584,434,1393,513
11512,서울특별시북부기술교육원,노원구,3254,741,3508,1457
11513,상계8동주민센터,노원구,7872,2002,6860,5440
11514,온곡초등학교,노원구,3079,927,2452,1451
11515,상계역,노원구,26017,6713,24429,23276
11516,수락산디자인거리,노원구,527,119,356,184
11518,상계주공11단지,노원구,1484,285,634,169
11521,상계3동파출소,노원구,186,99,508,445
11524,마들역,노원구,3922,932,2269,816
11527,오뚜기슈퍼,노원구,151,115,429,354
11532,대동아파트,노원구,453,151,564,482
11534,또또슈퍼,노원구,259,126,459,716
11535,상계주공14단지,노원구,6691,1899,5480,1962
11537,청원고등학교,노원구,3276,824,2869,552
11538,수락산역,노원구,4108,1593,5500,4426
11539,대동택시,노원구,609,263,894,929
11540,14단지상가,노원구,3154,798,1858,650
11541,건영옴니백화점,노원구,1776,736,1798,848
11542,상계주공9단지.포레나노원,노원구,2984,595,1113,371
11545,럭키수퍼,노원구,1609,416,2033,2643
11929,상원중학교,노원구,2129,810,3171,2970
11928,상원초등학교,노원구,799,558,2106,2157
11927,원자력병원입구,노원구,1851,917,2647,2330
11916,상계현대3차아파트,노원구,1196,514,2140,2314
11915,미도아파트앞,노원구,172,80,310,147
11910,현대우성아파트,노원구,659,320,1120,1172
11907,벽산상가,노원구,454,215,876,740
11906,지에스마트,노원구,607,463,1771,2023
11904,하계실버센터,노원구,628,364,1345,1554
11903,수락현대아파트,노원구,627,353,867,736
11899,수락산디자인거리,노원구,163,126,404,447
11898,성원아파트,노원구,641,344,1242,1326
11894,7호선수락산역,노원구,2159,831,2504,1879
11893,대주아파트,노원구,811,256,592,265
11890,대아아파트,노원구,867,207,429,232
11888,광운대역,노원구,2644,1450,5322,5609
11887,상계주공14단지,노원구,1021,470,1147,915
11886,건민약국앞,노원구,1323,407,1126,566
11885,주공11단지성당,노원구,337,132,648,758
11884,월계1동주민센터,노원구,901,285,665,310
11882,동일초등학교,노원구,233,166,758,830
11881,농협,노원구,1198,382,1114,1021
11880,14단지상가,노원구,1143,585,2173,2976
11875,마들역,노원구,583,279,1763,1903
11874,석계역,노원구,2674,917,3081,2405
11867,온곡중학교,노원구,1200,344,707,194
11865,노원여성개발센터,노원구,185,57,142,23
11847,청원고등학교,노원구,1612,275,1277,1666
11842,동신아파트,노원구,742,173,605,311
11819,상계주공13단지,노원구,682,286,1312,1440
11809,노원푸드마켓,노원구,121,48,104,35
11804,메디아이산부인과,노원구,739,212,678,542
11796,포레나노원,노원구,651,327,1683,2056
11793,삼창아파트,노원구,2144,682,2043,1238
11784,보람아파트상가,노원구,3736,1651,5974,5615
11781,지에스마트,노원구,2393,989,2584,1019
11680,순복음교회,노원구,220,82,320,215
11675,동신아파트,노원구,1448,511,1803,1343
11634,장미5단지아파트,노원구,472,206,951,432
11631,태강아파트,노원구,57,12,117,23
11601,KT전화국,노원구,1108,793,2799,2174
11597,장미6단지아파트,노원구,220,98,380,238
11594,석계역,노원구,3052,1173,3815,2952
11593,상신교회,노원구,1501,760,2197,2011
11592,하계2동주민센터,노원구,69,31,148,113
11587,대림아파트105동앞,노원구,1155,298,1016,591
11581,광운대역,노원구,4682,1275,3079,1569
11579,노원푸드마켓,노원구,66,30,126,94
11577,보람사거리,노원구,3871,801,1907,988
11576,상계주공15단지,노원구,2969,777,1963,853
11567,보람아파트정문,노원구,9160,2372,7040,2293
11566,한신1차아파트정문,노원구,742,137,532,797
11563,노원구청앞,노원구,13086,5740,19207,11747
11560,상계주공13단지,노원구,1274,380,927,336
11559,은성마트,노원구,142,86,401,696
11558,상계1차현대아파트,노원구,1512,422,1488,1209
11554,벽산상가,노원구,731,278,772,272
11552,한신1차아파트후문,노원구,710,229,856,1242
11550,건민약국앞,노원구,718,392,1563,1582
11549,주유소앞,노원구,1497,570,1253,437
11546,상원초등학교,노원구,2691,668,1703,683
11714,공릉동두산아파트,노원구,40,33,61,56
11869,화진연립,노원구,527,140,444,236
11572,인덕대입구,노원구,1396,583,1800,683
11901,공릉초등학교,노원구,347,123,322,174
11897,대동아파트,노원구,250,77,219,154
11930,대주아파트,노원구,435,174,577,568
11564,공릉천주교회,노원구,1134,652,2237,2418
11585,태강아파트,노원구,56,35,118,119
11591,현대아파트,노원구,357,92,440,104
11557,공릉역,노원구,4744,1714,4061,3668
11583,청솔7단지아파트,노원구,185,71,354,393
11723,하계역,노원구,3058,800,2406,849
11520,수락리버시티3.4단지,노원구,3406,1362,3604,1215
11522,7호선수락산역,노원구,1829,791,2875,2118
11551,노일중학교,노원구,207,111,442,491
11879,수락리버시티3.4단지,노원구,9921,3221,11742,12713
11562,노원역10번출구,노원구,22936,6140,13836,4265
11595,노원역2번출구,노원구,7360,4607,23153,26737
11571,한신3차아파트,노원구,938,187,610,952
11519,보람아파트앞,노원구,476,246,427,141
11531,계상초등학교,노원구,3502,1060,2343,1009
11926,24시편의점,노원구,5684,1402,3320,1297
11589,노원구청,노원구,8329,2907,8481,3424
11590,상계6동우체국,노원구,4162,1554,4731,2891
11556,롯데백화점,노원구,5419,1897,4360,1325
11596,노원역5번출구,노원구,5109,2589,9349,5978
11553,청원고등학교후문,노원구,3081,384,1498,341
11818,보람1차후문,노원구,3041,688,1420,561
11868,청원고등학교후문,노원구,1541,385,2068,1317
11902,보람1차후문,노원구,876,479,1967,2169
11530,상계주공9단지,노원구,2486,635,1473,529
11936,대학본부앞,노원구,24,24,127,44
11935,붕어방,노원구,884,632,1612,726
11934,대학본부앞,노원구,370,113,180,75
11937,서울과학기술대학교정문앞,노원구,1767,652,1756,593
11939,브라운스톤중계,노원구,568,261,1065,1031
11938,중계그린아파트,노원구,1386,365,910,406
11848,청백아파트종점,노원구,1080,998,3480,3289
11843,청백아파트,노원구,1326,359,1313,279
11845,월계주공2단지앞,노원구,2528,1024,3167,1255
11846,인덕대앞,노원구,2198,814,2259,1725
11844,청백아파트,노원구,1084,417,1505,1364
11602,중계센트럴파크아파트,노원구,203,109,424,251
11603,장석교회,노원구,546,238,633,398
11610,교육촌.벼루말,노원구,465,389,1425,1968
11866,상계2동주민센터,노원구,1385,340,704,226
12001,덕은교.은평차고지앞,은평구,20182,5203,17438,9751
12003,수색교,은평구,32301,6691,24384,14076
12005,수색역앞,은평구,35581,9372,33097,17845
12007,디지털미디어시티역,은평구,82595,19977,78963,52876
12009,은평뉴타운10단지,은평구,14651,4130,12614,7331
12011,구파발역입구,은평구,12789,5484,18247,10949
12013,박석고개.신도고등학교,은평구,24011,6350,22030,13093
12103,불광역1번출구,은평구,4777,1921,5035,2423
12104,불광역3.6호선,은평구,2807,1053,3404,2344
12106,연신내역,은평구,9714,4992,20928,18928
12107,선일하이츠빌라,은평구,754,342,1230,938
12109,세명컴퓨터고등학교,은평구,1644,349,1190,1029
12111,구파발역2번출구,은평구,40532,12564,45665,37711
