X좌표값,Y좌표값,사용월,호선명,자치구,지하철역,아침,점심,오후,저녁
127.0108917,37.5545054,202104,3호선,중구,약수,483041,145376,601360,370291
127.0341641,37.48457591,202104,3호선,서초구,양재,351099,99772,412806,147221
127.1279532,37.50213886,202104,3호선,송파구,오금,561089,161579,601811,339756
127.0173938,37.54156628,202104,3호선,성동구,옥수,217788,63957,231290,140466
126.9211007,37.61920325,202104,3호선,은평구,연신내,735608,155438,725151,387263
127.0841298,37.48398867,202104,3호선,강남구,일원,634462,181668,613905,444130
127.0711666,37.4968852,202104,3호선,강남구,학여울,115300,25304,92906,60564
126.9941507,37.56139658,202104,3호선,중구,충무로,149383,49363,178335,111355
127.0114195,37.51288992,202104,3호선,서초구,잠원,186818,40273,196208,93228
127.0250591,37.60339478,202104,4호선,성북구,길음,182864,54076,170217,70915
126.944158,37.58879538,202104,3호선,서대문구,홍제,81440,25830,87828,51406
127.0634491,37.65634035,202104,4호선,노원구,노원,175730,59238,201638,101428
126.9890853,37.46424996,202104,4호선,서초구,남태령,6,2,11,14
127.0790666,37.67021684,202104,4호선,노원구,당고개,40366,15056,47193,17894
126.9803171,37.50297778,202104,4호선,동작구,동작,311997,88967,299346,181132
127.0260411,37.62665449,202104,4호선,강북구,미아,359277,92397,331536,231122
126.9864001,37.56096347,202104,4호선,중구,명동,23419,6017,22015,8435
127.0300866,37.61327926,202104,4호선,강북구,미아사거리,301577,102711,362253,267428
126.972923,37.53443934,202104,4호선,용산구,삼각지,232100,61649,197237,143638
127.0734216,37.66072054,202104,4호선,노원구,상계,357361,140444,417618,133507
127.0171249,37.59296993,202104,4호선,성북구,성신여대입구,212341,67466,269283,162861
127.0255102,37.63788449,202104,4호선,강북구,수유,46453,16004,59864,28793
126.9721181,37.54459523,202104,4호선,용산구,숙대입구,304697,97379,365662,153018
126.967965,37.52925915,202104,4호선,용산구,신용산,271635,73035,258784,160325
127.0346561,37.64854261,202104,4호선,도봉구,쌍문,470570,135112,491599,320624
126.9735427,37.52241291,202104,4호선,용산구,이촌,394857,109847,386113,272393
127.047645,37.65333851,202104,4호선,도봉구,창동,87708,23150,97445,58598
126.9822119,37.4867996,202104,4호선,동작구,총신대입구,336822,85349,290987,223775
127.0060189,37.58842281,202104,4호선,성북구,한성대입구,233919,57421,241092,115990
127.1323963,37.53588191,202104,5호선,강동구,강동,296756,104062,364229,255100
127.1756802,37.55742598,202104,5호선,강동구,강일,577164,160306,589715,417815
127.1350796,37.49796828,202104,5호선,송파구,개롱,215492,62377,243346,140113
126.9784373,37.55876024,202104,4호선,중구,회현,284778,65123,297284,155624
127.0019427,37.58204392,202104,4호선,종로구,혜화,514840,123878,440329,346174
126.8068143,37.57253715,202104,5호선,강서구,개화산,132544,44880,157412,72139
127.1437738,37.49333045,202104,5호선,송파구,거여,430865,136331,471124,306748
126.9514512,37.54454169,202104,5호선,마포구,공덕,322637,103675,379024,216825
127.1541639,37.55504677,202104,5호선,강동구,고덕,469303,112065,479230,251171
127.1035215,37.54529917,202104,5호선,광진구,광나루,231206,75413,251492,149045
126.9764231,37.57164771,202104,5호선,종로구,광화문,453129,181278,622024,361482
127.0795129,37.55714969,202104,5호선,성동구,군자,458047,155498,491945,142138
127.1400213,37.53782649,202104,5호선,강동구,길동,340733,80534,303289,192270
127.1428827,37.54551759,202104,5호선,강동구,굽은다리,54202,14162,50890,39266
126.8019159,37.56196577,202104,5호선,강서구,김포공항,117901,30856,112687,73630
126.8464443,37.53223067,202104,5호선,강서구,까치산,97275,26079,87928,57042
126.8246969,37.56022864,202104,5호선,강서구,마곡,149192,37532,133856,82537
127.0525613,37.56697481,202104,5호선,성동구,답십리,159247,47338,161389,97383
127.1362146,37.52765684,202104,5호선,강동구,둔촌동,276485,57379,271544,147435
127.0429849,37.56613896,202104,5호선,성동구,마장,235681,65293,220841,126346
126.9458648,37.53955493,202104,5호선,마포구,마포,572332,109487,552093,259900
127.1528599,37.49503816,202104,5호선,송파구,마천,192982,49992,205027,152673
127.1440437,37.5513979,202104,5호선,강동구,명일,164839,45352,151983,105396
126.8377387,37.55867955,202104,5호선,강서구,발산,141969,45384,148801,83297
127.126096,37.50875063,202104,5호선,송파구,방이,108355,52404,162135,77120
126.8646253,37.52613331,202104,5호선,양천구,목동,522460,125494,459619,360048
127.1659058,37.55667788,202104,5호선,강동구,상일동,290929,64660,250787,164377
126.8128193,37.5776032,202104,5호선,강서구,방화,63012,8791,51079,23566
126.9666364,37.56575284,202104,5호선,서대문구,서대문,146878,41644,158014,90143
126.8124303,37.56116124,202104,5호선,강서구,송정,185974,42815,176495,91352
127.0204932,37.55447529,202104,5호선,성동구,신금호,102631,26846,91652,55374
127.0895661,37.55224827,202104,5호선,광진구,아차산,118725,29539,102294,67421
126.8560975,37.52502761,202104,5호선,양천구,신정,263799,58789,256110,146778
126.9183672,37.51678703,202104,5호선,영등포구,신길,157732,43434,150158,101959
126.932986,37.52714695,202104,5호선,영등포구,여의나루,297589,76460,309698,215244
126.8864193,37.52557964,202104,5호선,영등포구,양평,348616,96331,374059,203117
126.9566694,37.55341315,202104,5호선,마포구,애오개,118374,33569,126270,80349
126.8753073,37.52453408,202104,5호선,양천구,오목교,121103,35703,107637,70775
126.9051796,37.52270938,202104,5호선,영등포구,영등포시장,280002,62644,227475,176443
127.1309637,37.51633899,202104,5호선,송파구,올림픽공원,384942,66085,329704,135067
126.924661,37.52117009,202104,5호선,영등포구,여의도,118941,34693,115693,71850
127.0637037,37.56160299,202104,5호선,성동구,장한평,119890,28578,110277,69990
126.8363251,37.54881709,202104,5호선,강서구,우장산,79555,15087,70698,51200
127.0139438,37.56021019,202104,5호선,중구,청구,262299,49049,185505,138300
127.0295118,37.55736378,202104,5호선,성동구,행당,266235,85782,287131,167314
127.1239285,37.53851121,202104,5호선,강동구,천호,133345,30690,119981,62955
126.9865497,37.5347228,202104,6호선,용산구,녹사평,149479,25450,124220,71566
126.840455,37.54165079,202104,5호선,강서구,화곡,196904,68406,340087,193379
127.0363094,37.59044281,202104,6호선,성북구,고려대,554141,95630,541980,249999
126.9424732,37.54764791,202104,6호선,마포구,대흥,76268,16599,73574,35450
126.9330537,37.61841416,202104,6호선,은평구,독바위,179958,51123,183688,96220
126.9320308,37.54748738,202104,6호선,마포구,광흥창,73441,16702,67307,33977
127.0564381,37.61054501,202104,6호선,성북구,돌곶이,391262,111086,433118,264624
126.9172583,37.61124669,202104,6호선,은평구,구산,72016,22955,75184,35351
126.9012767,37.57601285,202104,6호선,서대문구,디지털미디어시티,74041,24743,92800,57548
126.9034256,37.56348719,202104,6호선,마포구,마포구청,255983,71412,245741,155031
127.0067309,37.54782751,202104,6호선,중구,버티고개,114131,28695,115260,45276
126.9100943,37.55608266,202104,6호선,마포구,망원,344600,72397,307604,189871
127.0200035,37.5855417,202104,6호선,성북구,보문,160689,76616,264019,147361
127.0913613,37.61735264,202104,6호선,중랑구,봉화산,256882,103730,369959,226472
126.9135807,37.59086005,202104,6호선,은평구,새절,66499,17414,67434,45203
127.0488292,37.60655883,202104,6호선,성북구,상월곡,96386,17897,86989,43976
126.9224299,37.54776618,202104,6호선,마포구,상수,150592,35570,125762,84166
127.1042714,37.61249102,202104,6호선,중랑구,신내,501370,118473,445467,328549
127.0656883,37.61500553,202104,6호선,성북구,석계,138172,37708,133165,88016
127.0292334,37.58630742,202104,6호선,성북구,안암,323865,74221,329704,184796
126.9228449,37.60622656,202104,6호선,은평구,역촌,163904,38724,150886,87758
127.0414607,37.60180442,202104,6호선,성북구,월곡,131280,33355,106608,66500
126.8990981,37.56963557,202104,6호선,마포구,월드컵경기장,73706,25484,102364,68701
126.9155422,37.59849106,202104,6호선,은평구,응암,141474,42912,146384,82418
126.9943339,37.53452521,202104,6호선,용산구,이태원,55887,13332,44053,34652
126.909495,37.58374635,202104,6호선,은평구,증산,163447,40743,139280,101446
127.0106315,37.5716676,202104,4호선,종로구,동대문,136996,56403,170567,76026
127.0152969,37.57941564,202104,6호선,종로구,창신,287680,46260,228671,137419
127.0163642,37.57321666,202104,6호선,종로구,동묘앞,245236,62692,225419,145977
127.0754053,37.61845951,202104,6호선,중랑구,태릉입구,226884,87291,293983,176428
126.9720913,37.55598024,202104,4호선,용산구,서울역,38480,10808,39447,25219
127.0244567,37.57602997,202104,2호선,동대문구,신설동,126395,31699,113252,80529
126.9771993,37.5653445,202104,2호선,중구,시청,162376,36852,126244,97365
127.0017651,37.53979077,202104,6호선,용산구,한강진,70251,26564,91201,48029
126.9613981,37.53930875,202104,6호선,용산구,효창공원앞,92919,26538,104946,62825
127.0835441,37.61984155,202104,6호선,중랑구,화랑대,110722,44034,165158,119515
126.8826618,37.48039597,202104,7호선,금천구,가산디지털단지,115703,26214,90849,66346
127.0413098,37.51721527,202104,7호선,강남구,강남구청,232696,59215,204204,145644
126.8874151,37.48625714,202104,7호선,구로구,남구로,213630,57672,203674,154346
127.0730336,37.62554276,202104,7호선,노원구,공릉,0,1,1,1
126.9709102,37.48479351,202104,7호선,동작구,남성,140837,37467,128195,106923
126.9936002,37.48765852,202104,7호선,서초구,내방,161791,57203,187910,118608
127.0460627,37.68951168,202104,7호선,도봉구,도봉산,64466,17714,64578,34953
127.0216531,37.5112018,202104,7호선,강남구,논현,70742,18886,63028,46052
127.0667962,37.53155838,202104,7호선,광진구,뚝섬유원지,8,2,8,5
127.0577126,37.66520175,202104,7호선,노원구,마들,199284,51337,188851,124712
127.0777622,37.61061938,202104,7호선,중랑구,먹골,75779,36688,120520,46253
127.0115862,37.50816143,202104,7호선,서초구,반포,315910,81020,291039,217205
127.0875038,37.58871489,202104,7호선,중랑구,면목,132990,53578,209246,150558
126.9206112,37.49992176,202104,7호선,영등포구,보라매,179034,46776,168719,120129
127.0885046,37.58094038,202104,7호선,중랑구,사가정,69287,14291,48897,33499
127.0857467,37.59670978,202104,7호선,중랑구,상봉,81869,15974,60047,41605
127.055351,37.67788147,202104,7호선,노원구,수락산,91902,26458,96315,72893
126.947918,37.50287063,202104,7호선,동작구,상도,126089,42123,176778,113054
126.953622,37.49631728,202104,7호선,동작구,숭실대입구,183982,64580,251244,184078
126.9097543,37.50012299,202104,7호선,영등포구,신풍,205222,42305,148524,107775
127.0746553,37.54796268,202104,7호선,광진구,어린이대공원,123462,32419,117454,66961
126.9282109,37.49975723,202104,7호선,동작구,신대방삼거리,943362,123587,809510,386492
127.0867618,37.5737157,202104,7호선,중랑구,용마산,334821,66166,281605,183733
126.8238479,37.49196754,202104,7호선,구로구,온수,176138,65068,241038,159529
126.9822119,37.4867996,202104,7호선,동작구,이수,243853,81794,276482,147882
127.0843124,37.56592206,202104,7호선,광진구,중곡,200234,60680,207862,143865
126.9390724,37.50489906,202104,7호선,동작구,장승배기,237379,55726,219279,162745
127.0641104,37.64509212,202104,7호선,노원구,중계,327279,54606,278843,153836
126.8386053,37.48685558,202104,7호선,구로구,천왕,207353,51395,175162,120973
127.0679913,37.63647654,202104,7호선,노원구,하계,266467,58878,255347,131405
127.0537179,37.51945558,202104,7호선,강남구,청담,316114,122232,386185,216409
127.0319019,37.51434579,202104,7호선,강남구,학동,389847,77440,359856,236880
127.1128631,37.51780648,202104,8호선,송파구,몽촌토성,131173,46420,153548,83525
127.1204437,37.5302112,202104,8호선,강동구,강동구청,201139,48097,154226,126881
127.079312,37.60255269,202104,7호선,중랑구,중화,132079,45700,209404,156787
127.1224849,37.48603105,202104,8호선,송파구,문정,227442,56198,181699,143516
127.126724,37.47074187,202104,8호선,송파구,복정,177243,47457,166131,119033
127.1121935,37.49971495,202104,8호선,송파구,송파,290588,72232,252767,183712
127.1070041,37.50541412,202104,8호선,송파구,석촌,97793,31605,105185,60017
127.1275419,37.55015908,202104,8호선,강동구,암사,185527,42250,169438,98717
127.1261766,37.47863169,202104,8호선,송파구,장지,294816,76017,278797,196750
126.7968914,37.57834451,202104,9호선,강서구,개화,185449,48257,173323,120416
126.8544203,37.56143312,202104,9호선,강서구,가양,294159,73534,278767,208038
126.9530961,37.51267212,202104,9호선,동작구,노들,236739,64895,210803,152579
126.8106085,37.56368833,202104,9호선,강서구,공항시장,215744,60064,215778,150070
126.9874649,37.50143983,202104,9호선,서초구,구반포,298806,69181,260607,184704
126.917839,37.5281465,202104,9호선,영등포구,국회의사당,213404,50574,190822,126774
126.9408932,37.51358567,202104,9호선,동작구,노량진,220039,71117,248160,141251
126.8655721,37.55072808,202104,9호선,강서구,등촌,207309,39235,158776,111554
127.0152725,37.50423263,202104,9호선,서초구,사평,118405,26388,94854,72192
126.8274209,37.56671261,202104,9호선,강서구,마곡나루,245287,74031,283503,186857
126.9283751,37.51737377,202104,9호선,영등포구,샛강,177380,45213,159209,105668
126.8933339,37.53815685,202104,9호선,영등포구,선유도,267069,63588,205634,153883
126.8830958,37.54428837,202104,9호선,양천구,신목동,185662,42464,155152,105997
127.025492,37.50481111,202104,9호선,강남구,신논현,200599,49908,177981,130910
126.9960824,37.50350914,202104,9호선,서초구,신반포,213333,45527,175421,123099
126.8172364,37.56748655,202104,9호선,강서구,신방화,415585,73984,343271,184194
126.8419788,37.56808088,202104,9호선,양천구,양천향교,135831,40541,142539,96923
126.8748716,37.54698294,202104,9호선,양천구,염창,310405,85186,277573,198783
126.8606379,37.55813216,202104,9호선,강서구,증미,501141,76523,413310,218831
126.9634631,37.50916547,202104,9호선,동작구,흑석,142694,40700,149360,82749
127.0602339,37.51425545,202104,9호선2~3단계,강남구,봉은사,199034,45196,175890,105919
127.0530437,37.51296145,202104,9호선2~3단계,강남구,삼성중앙,108398,28855,113395,59307
127.1386521,37.51940804,202104,9호선2~3단계,송파구,둔촌오륜,446120,72480,386679,190449
127.0873648,37.5045509,202104,9호선2~3단계,송파구,삼전,187020,45941,184606,113247
127.0436273,37.51093264,202104,9호선2~3단계,강남구,선정릉,135680,43705,154079,94218
127.1126628,37.51101671,202104,9호선2~3단계,송파구,송파나루,142688,36812,136245,79330
127.0339709,37.5073354,202104,9호선2~3단계,강남구,언주,342505,77316,281560,197125
127.0965093,37.50246426,202104,9호선2~3단계,송파구,석촌고분,230760,76533,301472,161584
127.1484117,37.52840259,202104,9호선2~3단계,강동구,중앙보훈병원,303696,77115,302293,177369
127.1164492,37.51653799,202104,9호선2~3단계,송파구,한성백제,257714,78623,296889,188768
126.9921533,37.57042084,202104,3호선,종로구,종로3가,357196,92109,332103,223379
127.0692029,37.54040842,202104,7호선,광진구,건대입구,43862,9003,34487,18342
127.013868,37.49274317,202104,3호선,서초구,교대,194740,90029,299915,164240
126.9026118,37.53478432,202104,9호선,영등포구,당산,47959,15911,51947,37273
127.0090053,37.5656635,202104,4호선,중구,동대문역사문화공원,43423,17173,54938,29544
126.9815586,37.47656043,202104,4호선,동작구,사당,311914,53680,279247,111256
126.894931,37.49330994,202104,7호선,구로구,대림,152946,70423,217140,97123
127.0194775,37.56567305,202104,6호선,중구,신당,74774,20408,69888,46888
127.0371034,37.56126836,202104,5호선,성동구,왕십리,447666,130108,431945,327128
126.8966774,37.52583053,202104,5호선,영등포구,영등포구청,286987,81519,312668,229354
126.9909856,37.5662906,202104,3호선,중구,을지로3가,29877,9001,29839,15942
127.1002288,37.51331286,202104,8호선,송파구,잠실,196162,52941,186330,124688
126.9976321,37.5666405,202104,5호선,중구,을지로4가,181633,47298,205731,142534
127.0738494,37.51114466,202104,9호선2~3단계,송파구,종합운동장,54192,16226,59212,32688
127.1182627,37.49309925,202104,8호선,송파구,가락시장,103868,22672,109242,55070
126.9303158,37.6100478,202104,6호선,은평구,불광,146405,31172,140743,75639
126.9644932,37.55976239,202104,5호선,서대문구,충정로,476544,153431,590798,398029
126.9144563,37.54991226,202104,6호선,마포구,합정,69147,15901,59548,41541
127.005121,37.50454705,202104,7호선,서초구,고속터미널,51554,16495,66137,30292
127.1279532,37.50213886,202104,5호선,송파구,오금,117029,33126,110299,74454
127.0108917,37.5545054,202104,6호선,중구,약수,175474,41772,161799,108234
126.9211007,37.61920325,202104,6호선,은평구,연신내,458964,97586,504123,242228
126.9941507,37.56139658,202104,4호선,중구,충무로,300832,67586,262724,217924
126.972923,37.53443934,202104,6호선,용산구,삼각지,134542,31025,128433,69860
127.0634491,37.65634035,202104,7호선,노원구,노원,124618,41346,145600,85574
126.9803171,37.50297778,202104,9호선,동작구,동작,21089,4408,20633,9000
127.0795129,37.55714969,202104,7호선,광진구,군자,275286,70274,290352,145008
127.1309637,37.51633899,202104,9호선2~3단계,송파구,올림픽공원,124818,25836,121757,62528
126.9514512,37.54454169,202104,6호선,마포구,공덕,112376,28128,105353,82359
126.8019159,37.56196577,202104,9호선,강서구,김포공항,128600,36927,129998,96364
126.924661,37.52117009,202104,9호선,영등포구,여의도,103626,26105,96367,70004
127.0754053,37.61845951,202104,7호선,중랑구,태릉입구,185335,38151,167754,100188
127.1239285,37.53851121,202104,8호선,강동구,천호,76876,24274,87012,60710
127.0139438,37.56021019,202104,6호선,중구,청구,183223,43402,181581,89887
127.1070041,37.50541412,202104,9호선2~3단계,송파구,석촌,91377,28469,107012,64432
127.005121,37.50454705,202104,9호선,서초구,고속터미널,65046,19578,76303,50780
126.9921533,37.57042084,202104,5호선,종로구,종로3가,187255,45110,142091,76281
127.0090053,37.5656635,202104,5호선,동대문구,동대문역사문화공원,40354,11343,43370,25661
