호선명	자치구	지하철역	07시-08시	08시-09시	09시-10시	10시-11시	11시-12시	12시-13시	13시-14시	14시-15시	15시-16시	16시-17시	17시-18시	18시-19시	19시-20시	20시-21시	21시-22시	22시-23시	23시-24시
7호선	동작구	신대방삼거리	64188	107023	60026	35634	31935	34277	34904	34182	36783	44256	56162	89224	62801	38854	34843	34145	14061
7호선	영등포구	신풍	53324	73116	39110	25133	22721	25354	25220	24114	27862	33040	43869	61937	43201	25855	24375	24405	8938
7호선	광진구	어린이대공원	32643	77647	49821	31065	28863	33195	37922	36199	39842	43537	58048	70534	43361	28044	28323	30014	11509
7호선	구로구	온수	59845	75507	36098	18831	17028	19893	19342	18146	21645	28124	35612	55249	39946	22541	20507	18981	9579
7호선	중랑구	용마산	28326	39992	22509	14778	12800	13230	13158	13241	14916	17350	20215	29132	24523	14101	13296	14386	5886
7호선	동작구	이수	41711	82572	52382	35263	33359	35132	38899	38731	40900	48220	60590	95062	57491	39186	40069	39827	10284
7호선	동작구	장승배기	37809	60270	34178	23608	21515	21867	23346	22971	24557	28880	33780	49021	35155	21345	20531	20469	8168
7호선	노원구	중계	77377	86976	44130	30266	28320	31624	31964	28528	32410	39078	44648	60970	53497	30611	28604	28145	13026
7호선	광진구	중곡	42339	65042	34884	23041	20356	21182	21282	21091	24138	30692	34596	44635	36579	21897	19222	20060	8239
7호선	중랑구	중화	45811	70824	37112	24190	22662	24804	25104	24289	26795	32017	39640	55240	46175	26217	24119	24558	9841
7호선	구로구	천왕	57896	74797	38373	22120	20147	22604	22923	22392	24951	30644	38259	59175	45882	25689	21670	20760	9098
7호선	강남구	청담	69098	159600	106081	47024	33782	34723	39261	38322	45052	53299	77578	129020	69165	39292	36370	32628	6739
7호선	중랑구	태릉입구	29800	41531	26510	19891	18099	19950	20591	20661	22235	26160	33318	40165	31762	19005	19121	19551	7484
7호선	노원구	하계	85753	93554	54425	38891	37782	42043	43143	41228	45925	52661	59691	78068	69457	39620	36184	37307	16215
7호선	강남구	학동	62035	199197	148512	54745	36652	35528	40995	42304	45762	54323	86547	184374	86468	43675	43372	37020	8296
8호선	송파구	가락시장	24620	50008	26010	21339	20717	19302	21398	22301	23489	25360	30973	47237	25215	18064	18494	16285	4691
8호선	강동구	강동구청	46052	74367	34883	23272	20460	21294	23902	23068	23917	29566	37784	61555	37253	21837	20148	20235	6446
8호선	송파구	몽촌토성	19047	39080	23014	14199	13058	14057	14798	15368	16625	19897	25183	36322	19588	12415	11838	12151	3315
8호선	송파구	문정	71197	202101	100060	41184	31578	33602	38878	38672	43354	48097	93320	163236	69671	40686	37452	34685	7955
8호선	송파구	복정	44145	60882	38123	23966	19904	23039	22902	22017	24988	31525	44480	61596	39814	23539	20927	22331	6636
8호선	송파구	석촌	23555	43836	28995	19645	19649	21529	22176	21778	24257	26632	34919	46493	30388	19126	19414	19253	6037
8호선	송파구	송파	34988	46890	25091	18274	17445	18018	18794	18696	21759	26427	28563	40800	28787	16334	15175	13838	5196
8호선	강동구	암사	88466	121595	60500	36913	35031	39608	37708	36903	42530	47452	60319	94356	69679	39768	37410	35690	14578
8호선	송파구	잠실	36664	83634	45903	31081	33478	37244	39289	41777	46764	50618	66027	96286	52737	38507	34207	30660	5473
8호선	송파구	장지	69687	106059	58068	36909	32973	38591	38524	38195	44408	53776	66935	98979	59797	40115	34623	32744	10090
8호선	강동구	천호	54499	81552	53109	34944	33610	37874	40749	39475	45005	52027	66509	93873	66495	40680	35744	33603	12246
9호선	강서구	가양	94909	112645	63222	43241	43179	45150	46959	45350	49541	58732	72244	106236	76754	45942	42862	41786	16035
