사용월,호선명,자치구,지하철역,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원
202104,7호선,노원구,수락산,5030,53412,8885,47831,17764,26736,15960,18181,16633,16610,14727,17721,14984,18355,13835,17555,14006,18048,16686,18917,20939,18636,26079,18837,41100,11843,44162,7645,24715,6658,19888,4691,20987,1111,10879
202104,7호선,동작구,숭실대입구(살피재),3270,36247,8466,50424,20299,27230,16057,16112,13404,14559,12946,15329,13788,16172,14775,14929,15817,15090,17363,17874,20775,21345,27290,19717,45578,11875,34866,10320,20104,11092,18977,10071,21252,2720,8793
202104,7호선,동작구,신대방삼거리,7341,50414,13774,76371,30652,41555,18471,22699,12935,19672,12263,20595,13682,19106,15798,17374,16808,17696,19087,20184,24072,22786,33376,28804,60420,15212,47589,11368,27486,9891,24952,8589,25556,2204,11857
202104,7호선,영등포구,신풍,4719,41922,11402,52217,20899,28761,10349,16147,8986,13385,9336,15015,10339,13982,11238,12498,11616,13167,14695,14555,18485,16375,27494,19080,42857,10515,32686,7324,18531,6414,17961,5058,19347,1345,7593
202104,7호선,광진구,어린이대공원(세종대),10153,17609,15034,30271,47376,20812,29009,12559,18506,12058,16805,14170,19025,16330,21592,16712,19487,21359,18483,26720,16817,37966,20082,42226,28308,21350,22011,14808,13236,15990,12333,15473,14541,4271,7238
202104,7호선,구로구,온수(성공회대입구),3942,49109,10736,58865,16642,24924,11174,12229,6602,10698,6330,11703,8190,10826,8516,9375,8771,11068,10577,14986,13138,14802,20810,13587,41662,6085,33861,4194,18347,4003,16504,3117,15864,852,8727
202104,7호선,중랑구,용마산(용마폭포공원),2316,24183,4143,29750,10242,16454,6055,9069,5709,7588,5212,7482,5748,7246,5912,6721,6520,6748,8168,7287,10063,7226,12989,7715,21417,5157,19366,3032,11069,2558,10738,2052,12334,774,5112
202104,7호선,동작구,이수,8544,26686,15025,41048,41524,26069,26313,17326,17937,17109,16250,18496,16636,20267,18632,20194,18537,20675,20225,23867,24353,29026,31564,43095,51967,23394,34097,21317,17869,24574,15495,23336,16491,3972,6312
202104,7호선,동작구,장승배기,4113,29589,8220,42620,17650,24047,10131,14373,9235,12309,9206,12635,9232,13087,10259,11812,11159,11152,13405,12887,15993,13359,20421,15591,33430,8619,26536,6383,14962,6151,14380,5177,15292,1412,6756
202104,7호선,노원구,중계,4296,61886,15491,62337,24639,32139,11991,21296,8970,18962,9358,18936,12688,17798,14166,14840,13688,16452,15958,20961,18117,18207,26441,16931,44039,8800,44697,5726,24885,7321,21283,5104,23041,1363,11663
202104,7호선,광진구,중곡,4426,31287,11052,46368,18674,25669,9215,14885,8156,12799,7557,13104,8078,12068,9214,11065,10026,11271,12867,16157,14535,15282,19314,13444,31191,9090,27489,5699,16198,4817,14405,4162,15898,1109,7130
202104,7호선,중랑구,중화,4050,37494,8317,47104,23720,25677,11435,15751,8439,13984,8678,14752,10052,13950,11154,12596,11693,12134,14661,13874,18143,16280,23360,18347,36893,10964,35211,6917,19300,6919,17200,5239,19319,1497,8344
202104,7호선,구로구,천왕,4651,49985,7911,60516,14281,30570,7803,15279,6841,12329,7818,12850,9754,12803,10120,11595,10797,11677,13274,13788,16856,14013,24246,12878,46297,7081,38801,4601,21088,3945,17725,3105,17655,833,8265
202104,7호선,강남구,청담,27050,10050,59048,12956,146644,10841,95240,10384,36640,13081,20701,15333,19390,17661,21600,19992,18330,28768,16284,37422,15877,60125,17453,109758,19262,56399,12766,31124,8168,28626,7744,26384,6244,4014,2725
202104,7호선,중랑구,태릉입구,5060,21289,8511,24862,16669,16406,10104,11772,8119,10075,8024,11081,8869,11132,9459,11054,9607,11893,10342,13644,12516,17276,16042,17544,22621,10765,20997,7254,11751,7615,11506,6225,13326,1769,5715
202104,7호선,노원구,하계,6414,68615,17138,70223,23331,36642,17783,25045,13846,23224,14558,24197,17846,22593,20550,21428,19800,23640,22285,27010,25651,26684,33007,23345,54723,13677,55780,9954,29666,10070,26114,8869,28438,1998,14217
202104,7호선,강남구,학동,25517,8265,53770,10957,188240,10233,138279,9859,44886,12375,24277,15431,20097,18370,22625,22877,19427,29180,16582,37943,16380,69856,16691,165498,18876,74654,11814,36578,7097,36915,6457,30919,6101,5617,2679
202104,8호선,송파구,가락시장,6175,10056,14564,12101,37907,9089,16921,8949,12390,9579,11138,9842,9460,10265,11133,11542,10759,13318,10171,13233,12127,17570,13403,28432,18805,11611,13604,9666,8398,11062,7432,9566,6719,1627,3064
202104,8호선,강동구,강동구청,4871,31486,14566,40603,33764,21025,13858,13342,9930,11423,9037,12054,9240,12150,11752,11669,11399,11967,11950,13799,15767,16892,20892,26905,34650,10407,26846,7009,14828,6843,13305,4968,15267,980,5466
202104,8호선,송파구,몽촌토성(평화의문),4767,10486,8561,14476,24604,8096,14918,5836,8363,5712,7346,6348,7709,6988,7810,7603,7765,9010,7615,11772,8125,15514,9669,21900,14422,9340,10248,6530,5885,6728,5110,6128,6023,1229,2086
202104,8호선,송파구,문정,10775,22082,49115,30083,172018,17972,82088,13953,27231,15322,16256,16847,16755,19976,18902,22123,16549,25208,18146,29150,18947,70292,23028,130666,32570,44556,25115,27325,13361,26364,11088,21977,12708,3229,4726
202104,8호선,송파구,복정,9999,30951,13194,39298,21584,22844,15279,14103,9863,11476,8428,12978,10061,12649,10253,12407,9610,14547,10441,18203,13322,24934,19546,28949,32647,15090,24724,8978,14561,7826,13101,7333,14998,2021,4615
202104,8호선,송파구,석촌,3780,15447,8108,22565,21271,12390,16605,9207,10438,8841,10808,9677,11852,9909,12267,9797,11981,10655,13602,12226,14406,14940,19979,19217,27276,10818,19570,8597,10529,9508,9906,9236,10017,1665,4372
202104,8호선,송파구,송파,4536,23950,11038,28701,18189,15773,9318,11042,7232,10217,7228,10086,7932,9931,8863,9551,9145,11580,10179,13894,12533,12081,16482,15174,25626,7955,20832,5589,10745,4414,10761,3446,10392,826,4370
202104,8호선,강동구,암사,6456,79805,8661,102508,19087,46914,13586,25441,11472,22326,12705,23158,16450,22081,15627,18617,18286,18227,24303,20030,27422,20397,39922,21994,72362,12383,57296,9596,30172,8064,29346,6055,29635,1653,12925
202104,8호선,송파구,잠실(송파구청),10254,8855,27809,12863,70771,8844,37059,8863,22218,10658,22820,12901,24343,15338,23951,18471,23306,22845,23919,27073,23545,38347,27680,59854,36432,33058,19679,29073,9434,27170,7037,23535,7125,3266,2207
202104,8호선,송파구,장지,9278,46778,22909,53690,52369,28101,29967,17272,19637,15915,17058,18932,19659,18918,19606,18591,19604,21740,22668,27951,25825,36276,30659,49675,49304,25747,34050,20668,19447,18580,16043,13311,19433,2644,7446
202104,8호선,강동구,천호(풍납토성),10879,40966,13533,55446,26106,30904,22205,17735,17209,16713,16897,18334,19540,19248,21501,18147,21328,18820,26185,21173,30854,25333,41176,27522,66351,18730,47765,16210,24470,14001,21743,11855,21748,2262,9984
202104,9호선,강서구,가양,9154,70230,24679,71699,40946,38499,24723,27789,15452,26416,16763,27774,17376,26140,20819,23729,21621,24855,24686,28661,30071,34018,38226,41239,64997,19210,57544,13011,32931,11657,31205,8836,32950,1624,14411
202104,9호선,강서구,개화,2229,13227,3119,8238,5430,2959,2607,2155,2019,1996,2112,2405,2339,2173,2086,2231,1822,2595,2107,3636,2060,5599,3032,6398,5007,2609,4779,1767,2491,1646,1768,460,1744,152,926
202104,9호선,서초구,고속터미널,12233,15180,17253,18873,25835,14184,25434,12182,24993,14066,26740,16617,26486,18173,28753,20100,28760,22908,30508,27652,30859,30678,34412,31054,42984,26387,27574,22748,17075,18131,13890,16076,14017,3785,4557
202104,9호선,강서구,공항시장,1100,8743,1850,9898,3802,5915,2818,4460,3288,4064,3121,4278,3435,4214,3984,4149,3908,3900,4703,4070,5832,4193,7097,4026,10069,2400,9498,2169,6108,1878,4751,1304,5616,359,3190
202104,9호선,서초구,구반포,1778,4806,3438,5560,7021,3790,5142,3129,3524,3091,3922,3610,4293,4288,4982,4279,4021,4571,4432,5302,4613,6318,5427,8344,7631,4660,5255,3540,2721,3056,2528,2475,3442,376,1491
202104,9호선,영등포구,국회의사당,8658,3757,40486,6112,144018,4945,59971,7003,20073,9893,15656,11573,13594,13536,14977,16929,11804,19891,9478,24034,8747,56927,10086,111107,10244,34960,6678,20476,3303,20671,2963,15711,3268,2165,1061
202104,9호선,강서구,김포공항,12802,8909,19492,11357,24768,10309,19770,9846,17260,11708,19527,10996,21109,12631,25687,13986,24869,15781,23329,14814,24252,17173,30214,21373,31349,15555,20076,15403,8693,16542,3883,10637,3315,1556,1463
202104,9호선,동작구,노들,1237,15822,2310,19869,3761,10506,2955,7163,3297,6002,3089,6133,3710,6170,4395,5607,4367,4980,6314,5737,6515,5895,8999,5836,15638,3583,12086,2642,7010,2173,6587,2024,7261,636,2886
202104,9호선,동작구,노량진,15222,60001,44521,89352,66385,46401,37367,29421,24443,26977,22798,31405,30610,35735,32358,29710,27808,29272,31829,33960,37311,46104,55627,57065,83259,30466,57444,29683,35769,37172,33937,43235,37993,5236,16193
202104,9호선,영등포구,당산,5866,48722,15000,55698,41133,30170,22624,21824,14400,21924,15492,23095,17030,22620,18774,21214,18990,21727,21089,24048,25611,31188,39107,45127,64567,22735,48034,17687,29551,19156,26901,17420,32412,3101,12357
202104,9호선,동작구,동작(현충원),1673,5150,1696,6055,2648,3386,1990,2501,1995,2464,1992,2553,1818,2631,1999,2556,2302,2759,2155,3329,2130,3550,2662,3987,4409,1879,3056,1345,1804,1221,1916,1194,2397,281,849
202104,9호선,강서구,등촌,3387,42066,6598,49625,17991,21339,11051,15190,8767,14127,9408,14955,11002,14612,12372,13404,12595,13116,15973,13951,17989,15131,25353,18519,40299,9108,36692,6439,19162,6031,15172,5622,17048,1314,8100
202104,9호선,강서구,마곡나루(서울식물원),9487,27244,11785,27723,39718,12868,20806,9691,11436,9910,10452,11622,11262,12548,11866,12702,12476,14895,12957,18349,14506,28153,20420,38773,32500,17396,28551,13759,15455,16045,12728,13979,15151,2412,7058
202104,9호선,서초구,사평,2593,8837,5238,10061,7459,5517,3347,3930,2784,3991,3028,4137,3379,4625,4085,3940,4069,5015,4022,7305,5372,6502,6521,6897,9569,4086,7624,2622,3977,2011,3813,1806,4754,392,1603
202104,9호선,영등포구,샛강,4245,4537,15136,5925,37791,4143,13792,4156,6974,4869,6545,5056,5832,5942,5842,6449,6234,7671,5253,10128,6042,17610,7667,30612,11576,11278,6237,7807,3754,8344,2847,8596,3329,1475,1403
202104,9호선,영등포구,선유도,3716,19089,11207,22254,39162,9760,16944,6765,6737,7039,7448,7947,6800,7997,8428,8244,8511,9172,8506,11748,9119,17959,11148,36431,19905,13216,15912,7452,7928,6714,6654,5345,7939,1283,3196
202104,9호선,강남구,신논현,14573,31150,41755,42132,90326,27545,99339,22978,53548,28018,39753,33374,38446,36737,44874,39148,40805,44692,39709,53981,45008,73748,56988,107131,89588,76376,51739,55307,23870,66788,19982,67879,20561,7760,7767
202104,9호선,양천구,신목동,1883,17790,2933,17477,5771,8118,2410,4813,2380,4587,2868,4675,3009,4535,3682,3846,3798,4343,3887,5079,5541,5894,7607,5809,13744,2769,11502,1805,5998,1729,6276,1587,6718,481,2676
202104,9호선,서초구,신반포,6615,5482,7147,6576,8968,4349,5367,3249,3962,3179,3275,3768,3709,4303,4715,4230,4239,5646,4722,10515,4542,10322,5233,8889,7799,5081,5253,3468,2858,2994,2792,2602,3339,512,1393
202104,9호선,강서구,신방화,3049,27506,4613,25801,10994,13414,5861,9438,5203,8202,5997,8990,7405,9298,7433,8176,7066,8516,10129,9746,10888,8972,13622,9565,23619,5112,20328,4283,11439,3375,10238,2820,10819,802,5238
202104,9호선,양천구,양천향교,4882,28954,10180,29158,37359,14350,17179,10513,8802,10840,8139,12322,8995,11860,8595,11280,10143,11936,9502,14368,11521,19123,16000,31484,26442,11628,25037,7278,15385,6593,12901,4722,15775,1128,7787
202104,9호선,영등포구,여의도,19664,8361,126772,10184,153965,10439,63454,11855,28394,16670,28870,17370,27624,22628,29964,26508,26861,33516,23507,48157,21806,123936,23948,147948,27936,66451,17112,52987,8842,45312,7415,30222,7892,3439,2556
202104,9호선,양천구,염창,4914,74750,7959,80760,21984,40434,11326,24046,9529,20238,9806,21296,12611,19979,13700,16790,15084,16145,19897,17208,24271,20073,40120,24171,68965,12173,61695,8966,36595,8240,30820,6523,36310,1381,15221
202104,9호선,강서구,증미,3229,20720,8457,20652,33979,10608,11403,7852,7067,8027,5777,8288,6795,8492,7450,8187,7464,9078,9202,10057,9386,14539,11212,29480,19828,8754,17601,5731,8799,4741,7987,3285,8116,1009,3837
202104,9호선,동작구,흑석(중앙대입구),6290,16257,10371,20950,14623,12790,11577,10307,9672,10287,7784,10574,9475,10353,10944,11011,9211,11632,11443,14254,12561,18801,16487,14923,25277,8400,17345,7125,11047,7241,9581,7515,11117,1498,4705
202104,9호선2~3단계,송파구,둔촌오륜,2723,3565,3949,4237,2305,2284,647,1231,718,940,1213,1176,866,1484,882,1530,848,1578,1074,4998,1141,2789,1859,2276,2540,902,2210,614,1248,500,1085,259,1465,117,600
202104,9호선2~3단계,강남구,봉은사,10659,8395,33223,9784,90517,7425,60872,7657,25448,10854,21111,13592,19655,16520,20507,18493,19161,21988,15203,28388,15494,51885,17271,83354,19115,40579,12342,26413,6619,24824,6003,18594,5567,2163,1904
202104,9호선2~3단계,강남구,삼성중앙,4046,4867,13812,6111,39510,5163,28374,4480,11414,5039,6048,5853,6021,6734,7228,7544,5685,8138,6466,10457,6114,21086,7918,37443,10906,15767,7109,9081,4245,8773,3592,7314,3766,1180,1701
202104,9호선2~3단계,송파구,삼전,2514,18906,3760,28649,9732,17892,6617,9239,4823,7850,4908,8052,5636,8135,6305,7492,6964,7250,7251,8225,9648,9452,14422,11947,22702,6442,20287,4754,11637,4295,10867,4191,12590,835,6461
202104,9호선2~3단계,송파구,석촌,1936,22534,4681,28410,9995,18793,9710,10809,6768,9723,7177,10453,7246,10606,8622,9927,8087,9979,9179,11822,11552,13137,15606,14863,25846,8850,21710,7510,11816,8256,11761,7478,13369,1361,4253
202104,9호선2~3단계,송파구,석촌고분,1965,14663,4607,23938,12159,15085,8721,8052,4871,6979,4551,7416,5389,7444,5856,6550,5871,6691,7258,8401,8145,8881,11437,12455,20678,6186,16388,4347,10451,4420,9044,3855,10017,738,4558
202104,9호선2~3단계,강남구,선정릉,6261,8537,16233,9369,57574,6973,44776,5979,18054,6756,11084,7649,10336,9043,11123,10075,10414,11675,9150,15275,9743,25738,11244,50419,14021,27750,10043,13843,6287,13383,6176,11884,7174,1627,2021
202104,9호선2~3단계,송파구,송파나루,1473,11085,3628,15264,9163,9752,7369,5385,4207,5363,5660,5333,5881,5969,7091,5435,6041,5640,6728,6479,8437,7687,11143,11030,18392,5909,15021,5397,6279,6511,5832,5357,6597,651,3156
202104,9호선2~3단계,강남구,언주,7344,5862,18677,8324,57679,6902,40405,7383,18493,8980,10518,10590,10312,10707,11793,12215,10451,14022,9498,17902,9750,32560,10718,51667,12798,23515,9538,12925,5598,12439,5166,10945,5324,1782,2655
202104,9호선2~3단계,송파구,올림픽공원(한국체대),4190,14475,5170,15803,12720,10888,7501,6895,5858,6099,5968,7025,6969,7189,7286,6916,7832,8246,7606,10899,8176,13728,10831,15880,16898,7051,13640,4751,9232,4063,8239,3275,10204,617,3360
202104,9호선2~3단계,송파구,종합운동장,2087,8933,4962,9897,10686,6549,7286,4405,4009,4637,3682,5230,4165,5370,4813,5086,4713,5396,5113,6568,5751,8987,9080,11742,13867,6639,9587,4886,5458,5652,4710,5551,5473,839,1985
202104,9호선2~3단계,강동구,중앙보훈병원,6131,36059,10766,35109,18977,22082,12852,16184,12040,15472,7714,12862,9949,9416,12883,13993,10160,15684,9431,14992,8965,17955,13627,12498,24786,4731,21669,3204,11612,2897,11457,2205,13808,446,4252
202104,9호선2~3단계,송파구,한성백제,1104,6621,1715,7388,5754,4481,3755,2916,2426,2800,2498,2985,2468,3215,2675,3093,3213,3535,2799,4650,3462,5067,4078,6768,6705,2930,5708,2288,3171,2074,2848,1540,3281,299,1522
