구,수
강남구,10836881.56
강동구,6926685.083
강북구,4123863.636
강서구,4249262.048
관악구,5730848.057
광진구,5381586.066
구로구,4201012.146
금천구,3827516.779
노원구,3982675.159
도봉구,3743842.105
동대문구,4955792.079
동작구,6183333.333
마포구,7051137.725
서대문구,7194935.065
서초구,9084030.172
성동구,4997902.128
성북구,5390685.921
송파구,8046182.965
양천구,4508037.234
영등포구,5078133.005
용산구,8035710.306
은평구,4830424.028
종로구,10494859.91
중구,10441398.96
중랑구,3831875
