구,업종,수
강동구,사무/문구/컴퓨터,82
종로구,가방/신발/액세서리,351
중구,가방/신발/액세서리,644
용산구,가방/신발/액세서리,244
성동구,가방/신발/액세서리,132
광진구,가방/신발/액세서리,210
동대문구,가방/신발/액세서리,330
중랑구,가방/신발/액세서리,133
성북구,가방/신발/액세서리,156
강북구,가방/신발/액세서리,116
도봉구,가방/신발/액세서리,80
노원구,가방/신발/액세서리,130
은평구,가방/신발/액세서리,124
서대문구,가방/신발/액세서리,163
마포구,가방/신발/액세서리,160
양천구,가방/신발/액세서리,123
강서구,가방/신발/액세서리,169
구로구,가방/신발/액세서리,121
금천구,가방/신발/액세서리,115
영등포구,가방/신발/액세서리,265
동작구,가방/신발/액세서리,65
관악구,가방/신발/액세서리,142
서초구,가방/신발/액세서리,231
강남구,가방/신발/액세서리,486
송파구,가방/신발/액세서리,189
강동구,가방/신발/액세서리,170
종로구,애견/애완/동물,8
중구,애견/애완/동물,15
용산구,애견/애완/동물,9
성동구,애견/애완/동물,5
광진구,애견/애완/동물,29
동대문구,애견/애완/동물,8
중랑구,애견/애완/동물,15
성북구,애견/애완/동물,13
강북구,애견/애완/동물,11
도봉구,애견/애완/동물,11
노원구,애견/애완/동물,7
은평구,애견/애완/동물,9
서대문구,애견/애완/동물,6
마포구,애견/애완/동물,11
양천구,애견/애완/동물,12
강서구,애견/애완/동물,13
구로구,애견/애완/동물,7
금천구,애견/애완/동물,8
영등포구,애견/애완/동물,13
동작구,애견/애완/동물,8
관악구,애견/애완/동물,16
서초구,애견/애완/동물,10
강남구,애견/애완/동물,17
송파구,애견/애완/동물,22
강동구,애견/애완/동물,13
종로구,유아용품,6
중구,유아용품,4
용산구,유아용품,6
성동구,유아용품,3
광진구,유아용품,17
동대문구,유아용품,26
중랑구,유아용품,9
성북구,유아용품,8
강북구,유아용품,3
도봉구,유아용품,6
노원구,유아용품,8
은평구,유아용품,13
서대문구,유아용품,6
마포구,유아용품,5
양천구,유아용품,6
강서구,유아용품,22
구로구,유아용품,13
금천구,유아용품,10
영등포구,유아용품,7
동작구,유아용품,5
관악구,유아용품,3
서초구,유아용품,16
강남구,유아용품,28
송파구,유아용품,15
강동구,유아용품,10
종로구,자동차/자동차용품,33
중구,자동차/자동차용품,55
용산구,자동차/자동차용품,68
성동구,자동차/자동차용품,159
광진구,자동차/자동차용품,98
동대문구,자동차/자동차용품,264
중랑구,자동차/자동차용품,59
성북구,자동차/자동차용품,57
강북구,자동차/자동차용품,37
도봉구,자동차/자동차용품,53
노원구,자동차/자동차용품,45
은평구,자동차/자동차용품,46
서대문구,자동차/자동차용품,26
마포구,자동차/자동차용품,48
양천구,자동차/자동차용품,84
강서구,자동차/자동차용품,206
구로구,자동차/자동차용품,66
금천구,자동차/자동차용품,64
영등포구,자동차/자동차용품,127
동작구,자동차/자동차용품,22
관악구,자동차/자동차용품,43
서초구,자동차/자동차용품,174
강남구,자동차/자동차용품,256
송파구,자동차/자동차용품,98
강동구,자동차/자동차용품,77
종로구,의약/의료품소매,59
중구,의약/의료품소매,76
용산구,의약/의료품소매,31
성동구,의약/의료품소매,40
광진구,의약/의료품소매,119
동대문구,의약/의료품소매,67
중랑구,의약/의료품소매,40
성북구,의약/의료품소매,58
강북구,의약/의료품소매,30
도봉구,의약/의료품소매,42
노원구,의약/의료품소매,39
은평구,의약/의료품소매,41
서대문구,의약/의료품소매,35
마포구,의약/의료품소매,32
양천구,의약/의료품소매,31
강서구,의약/의료품소매,65
구로구,의약/의료품소매,54
금천구,의약/의료품소매,45
영등포구,의약/의료품소매,91
동작구,의약/의료품소매,28
관악구,의약/의료품소매,44
서초구,의약/의료품소매,96
강남구,의약/의료품소매,148
송파구,의약/의료품소매,52
강동구,의약/의료품소매,52
종로구,화장품소매,106
중구,화장품소매,258
용산구,화장품소매,108
성동구,화장품소매,92
광진구,화장품소매,266
동대문구,화장품소매,201
중랑구,화장품소매,166
성북구,화장품소매,201
강북구,화장품소매,99
도봉구,화장품소매,118
노원구,화장품소매,199
은평구,화장품소매,185
서대문구,화장품소매,172
마포구,화장품소매,163
양천구,화장품소매,148
강서구,화장품소매,228
구로구,화장품소매,152
금천구,화장품소매,98
영등포구,화장품소매,227
동작구,화장품소매,107
관악구,화장품소매,151
서초구,화장품소매,303
강남구,화장품소매,703
송파구,화장품소매,232
강동구,화장품소매,157
종로구,사진/광학/정밀기기소매,155
중구,사진/광학/정밀기기소매,269
용산구,사진/광학/정밀기기소매,287
성동구,사진/광학/정밀기기소매,174
광진구,사진/광학/정밀기기소매,354
동대문구,사진/광학/정밀기기소매,232
중랑구,사진/광학/정밀기기소매,201
성북구,사진/광학/정밀기기소매,215
강북구,사진/광학/정밀기기소매,109
도봉구,사진/광학/정밀기기소매,127
노원구,사진/광학/정밀기기소매,191
은평구,사진/광학/정밀기기소매,202
서대문구,사진/광학/정밀기기소매,160
마포구,사진/광학/정밀기기소매,229
양천구,사진/광학/정밀기기소매,166
강서구,사진/광학/정밀기기소매,247
구로구,사진/광학/정밀기기소매,230
금천구,사진/광학/정밀기기소매,180
영등포구,사진/광학/정밀기기소매,271
동작구,사진/광학/정밀기기소매,165
관악구,사진/광학/정밀기기소매,202
서초구,사진/광학/정밀기기소매,312
강남구,사진/광학/정밀기기소매,762
송파구,사진/광학/정밀기기소매,287
강동구,사진/광학/정밀기기소매,196
종로구,가전제품소매,166
중구,가전제품소매,80
용산구,가전제품소매,207
성동구,가전제품소매,31
광진구,가전제품소매,168
동대문구,가전제품소매,83
중랑구,가전제품소매,53
성북구,가전제품소매,51
강북구,가전제품소매,37
도봉구,가전제품소매,38
노원구,가전제품소매,32
은평구,가전제품소매,40
서대문구,가전제품소매,32
마포구,가전제품소매,42
양천구,가전제품소매,55
강서구,가전제품소매,61
구로구,가전제품소매,79
금천구,가전제품소매,50
영등포구,가전제품소매,113
동작구,가전제품소매,33
관악구,가전제품소매,57
서초구,가전제품소매,92
강남구,가전제품소매,128
송파구,가전제품소매,63
강동구,가전제품소매,86
종로구,시계/귀금속소매,476
중구,시계/귀금속소매,95
용산구,시계/귀금속소매,37
성동구,시계/귀금속소매,32
광진구,시계/귀금속소매,65
동대문구,시계/귀금속소매,58
중랑구,시계/귀금속소매,37
성북구,시계/귀금속소매,44
강북구,시계/귀금속소매,25
도봉구,시계/귀금속소매,27
노원구,시계/귀금속소매,44
은평구,시계/귀금속소매,34
서대문구,시계/귀금속소매,26
마포구,시계/귀금속소매,28
양천구,시계/귀금속소매,45
강서구,시계/귀금속소매,58
구로구,시계/귀금속소매,34
금천구,시계/귀금속소매,26
영등포구,시계/귀금속소매,63
동작구,시계/귀금속소매,34
관악구,시계/귀금속소매,47
서초구,시계/귀금속소매,63
강남구,시계/귀금속소매,182
송파구,시계/귀금속소매,62
강동구,시계/귀금속소매,50
종로구,종교용품판매,6
중구,종교용품판매,2
용산구,종교용품판매,0
성동구,종교용품판매,1
광진구,종교용품판매,3
동대문구,종교용품판매,1
중랑구,종교용품판매,1
성북구,종교용품판매,4
강북구,종교용품판매,1
도봉구,종교용품판매,0
노원구,종교용품판매,1
은평구,종교용품판매,0
서대문구,종교용품판매,1
마포구,종교용품판매,1
양천구,종교용품판매,1
강서구,종교용품판매,2
구로구,종교용품판매,2
금천구,종교용품판매,3
영등포구,종교용품판매,3
동작구,종교용품판매,3
관악구,종교용품판매,1
서초구,종교용품판매,7
강남구,종교용품판매,1
송파구,종교용품판매,2
강동구,종교용품판매,4
종로구,운동/경기용품소매,53
중구,운동/경기용품소매,111
용산구,운동/경기용품소매,48
성동구,운동/경기용품소매,44
광진구,운동/경기용품소매,119
동대문구,운동/경기용품소매,73
중랑구,운동/경기용품소매,43
성북구,운동/경기용품소매,60
강북구,운동/경기용품소매,45
도봉구,운동/경기용품소매,52
노원구,운동/경기용품소매,55
은평구,운동/경기용품소매,51
서대문구,운동/경기용품소매,23
마포구,운동/경기용품소매,39
양천구,운동/경기용품소매,59
강서구,운동/경기용품소매,84
구로구,운동/경기용품소매,49
금천구,운동/경기용품소매,82
영등포구,운동/경기용품소매,77
동작구,운동/경기용품소매,20
관악구,운동/경기용품소매,68
서초구,운동/경기용품소매,119
강남구,운동/경기용품소매,247
송파구,운동/경기용품소매,131
강동구,운동/경기용품소매,84
종로구,취미/오락관련소매,189
중구,취미/오락관련소매,20
용산구,취미/오락관련소매,42
성동구,취미/오락관련소매,10
광진구,취미/오락관련소매,28
동대문구,취미/오락관련소매,12
중랑구,취미/오락관련소매,17
성북구,취미/오락관련소매,27
강북구,취미/오락관련소매,6
도봉구,취미/오락관련소매,15
노원구,취미/오락관련소매,25
은평구,취미/오락관련소매,22
서대문구,취미/오락관련소매,15
마포구,취미/오락관련소매,27
양천구,취미/오락관련소매,16
강서구,취미/오락관련소매,18
구로구,취미/오락관련소매,23
금천구,취미/오락관련소매,9
영등포구,취미/오락관련소매,24
동작구,취미/오락관련소매,19
관악구,취미/오락관련소매,19
서초구,취미/오락관련소매,98
강남구,취미/오락관련소매,50
송파구,취미/오락관련소매,21
강동구,취미/오락관련소매,24
종로구,예술품/골동품/수석/분재,106
중구,예술품/골동품/수석/분재,25
용산구,예술품/골동품/수석/분재,28
성동구,예술품/골동품/수석/분재,1
광진구,예술품/골동품/수석/분재,18
동대문구,예술품/골동품/수석/분재,22
중랑구,예술품/골동품/수석/분재,7
성북구,예술품/골동품/수석/분재,12
강북구,예술품/골동품/수석/분재,3
도봉구,예술품/골동품/수석/분재,3
노원구,예술품/골동품/수석/분재,14
은평구,예술품/골동품/수석/분재,8
서대문구,예술품/골동품/수석/분재,8
마포구,예술품/골동품/수석/분재,22
양천구,예술품/골동품/수석/분재,7
강서구,예술품/골동품/수석/분재,4
구로구,예술품/골동품/수석/분재,7
금천구,예술품/골동품/수석/분재,1
영등포구,예술품/골동품/수석/분재,11
동작구,예술품/골동품/수석/분재,7
관악구,예술품/골동품/수석/분재,5
서초구,예술품/골동품/수석/분재,28
강남구,예술품/골동품/수석/분재,44
송파구,예술품/골동품/수석/분재,6
강동구,예술품/골동품/수석/분재,7
종로구,가구소매,14
중구,가구소매,75
용산구,가구소매,60
성동구,가구소매,13
광진구,가구소매,117
동대문구,가구소매,32
중랑구,가구소매,35
성북구,가구소매,35
강북구,가구소매,31
도봉구,가구소매,22
노원구,가구소매,30
은평구,가구소매,41
서대문구,가구소매,64
마포구,가구소매,26
양천구,가구소매,32
강서구,가구소매,48
구로구,가구소매,31
금천구,가구소매,18
영등포구,가구소매,32
동작구,가구소매,28
관악구,가구소매,33
서초구,가구소매,113
강남구,가구소매,144
송파구,가구소매,69
강동구,가구소매,46
종로구,철물/난방/건설자재소매,73
중구,철물/난방/건설자재소매,88
용산구,철물/난방/건설자재소매,49
성동구,철물/난방/건설자재소매,72
광진구,철물/난방/건설자재소매,121
동대문구,철물/난방/건설자재소매,132
중랑구,철물/난방/건설자재소매,109
성북구,철물/난방/건설자재소매,93
강북구,철물/난방/건설자재소매,50
도봉구,철물/난방/건설자재소매,69
노원구,철물/난방/건설자재소매,64
은평구,철물/난방/건설자재소매,87
서대문구,철물/난방/건설자재소매,58
마포구,철물/난방/건설자재소매,62
양천구,철물/난방/건설자재소매,65
강서구,철물/난방/건설자재소매,80
구로구,철물/난방/건설자재소매,126
금천구,철물/난방/건설자재소매,127
영등포구,철물/난방/건설자재소매,140
동작구,철물/난방/건설자재소매,70
관악구,철물/난방/건설자재소매,102
서초구,철물/난방/건설자재소매,86
강남구,철물/난방/건설자재소매,135
송파구,철물/난방/건설자재소매,115
강동구,철물/난방/건설자재소매,123
종로구,페인트/유리제품소매,17
중구,페인트/유리제품소매,25
용산구,페인트/유리제품소매,13
성동구,페인트/유리제품소매,9
광진구,페인트/유리제품소매,18
동대문구,페인트/유리제품소매,28
중랑구,페인트/유리제품소매,19
성북구,페인트/유리제품소매,24
강북구,페인트/유리제품소매,7
도봉구,페인트/유리제품소매,6
노원구,페인트/유리제품소매,8
은평구,페인트/유리제품소매,13
서대문구,페인트/유리제품소매,12
마포구,페인트/유리제품소매,12
양천구,페인트/유리제품소매,20
강서구,페인트/유리제품소매,21
구로구,페인트/유리제품소매,33
금천구,페인트/유리제품소매,25
영등포구,페인트/유리제품소매,31
동작구,페인트/유리제품소매,15
관악구,페인트/유리제품소매,25
서초구,페인트/유리제품소매,18
강남구,페인트/유리제품소매,27
송파구,페인트/유리제품소매,24
강동구,페인트/유리제품소매,24
종로구,책/서적/도서,92
중구,책/서적/도서,53
용산구,책/서적/도서,37
성동구,책/서적/도서,25
광진구,책/서적/도서,65
동대문구,책/서적/도서,32
중랑구,책/서적/도서,20
성북구,책/서적/도서,36
강북구,책/서적/도서,24
도봉구,책/서적/도서,36
노원구,책/서적/도서,38
은평구,책/서적/도서,35
서대문구,책/서적/도서,48
마포구,책/서적/도서,66
양천구,책/서적/도서,43
강서구,책/서적/도서,53
구로구,책/서적/도서,34
금천구,책/서적/도서,24
영등포구,책/서적/도서,50
동작구,책/서적/도서,39
관악구,책/서적/도서,49
서초구,책/서적/도서,85
강남구,책/서적/도서,114
송파구,책/서적/도서,52
강동구,책/서적/도서,36
종로구,건강/미용식품,67
중구,건강/미용식품,88
용산구,건강/미용식품,42
성동구,건강/미용식품,67
광진구,건강/미용식품,164
동대문구,건강/미용식품,302
중랑구,건강/미용식품,114
성북구,건강/미용식품,110
강북구,건강/미용식품,81
도봉구,건강/미용식품,86
노원구,건강/미용식품,85
은평구,건강/미용식품,123
서대문구,건강/미용식품,80
마포구,건강/미용식품,57
양천구,건강/미용식품,127
강서구,건강/미용식품,122
구로구,건강/미용식품,121
금천구,건강/미용식품,71
영등포구,건강/미용식품,137
동작구,건강/미용식품,92
관악구,건강/미용식품,134
서초구,건강/미용식품,166
강남구,건강/미용식품,330
송파구,건강/미용식품,159
강동구,건강/미용식품,136
종로구,전시/관람,0
중구,전시/관람,0
용산구,전시/관람,0
성동구,전시/관람,0
광진구,전시/관람,0
동대문구,전시/관람,0
중랑구,전시/관람,0
성북구,전시/관람,0
강북구,전시/관람,0
도봉구,전시/관람,0
노원구,전시/관람,0
은평구,전시/관람,0
서대문구,전시/관람,0
마포구,전시/관람,1
양천구,전시/관람,0
강서구,전시/관람,0
구로구,전시/관람,0
금천구,전시/관람,0
영등포구,전시/관람,0
동작구,전시/관람,0
관악구,전시/관람,0
서초구,전시/관람,0
강남구,전시/관람,1
송파구,전시/관람,0
강동구,전시/관람,0
종로구,놀이/여가/취미,2
중구,놀이/여가/취미,1
용산구,놀이/여가/취미,0
성동구,놀이/여가/취미,1
광진구,놀이/여가/취미,3
동대문구,놀이/여가/취미,3
중랑구,놀이/여가/취미,0
성북구,놀이/여가/취미,2
강북구,놀이/여가/취미,3
도봉구,놀이/여가/취미,2
노원구,놀이/여가/취미,1
은평구,놀이/여가/취미,2
서대문구,놀이/여가/취미,4
마포구,놀이/여가/취미,0
양천구,놀이/여가/취미,1
강서구,놀이/여가/취미,1
구로구,놀이/여가/취미,6
금천구,놀이/여가/취미,0
영등포구,놀이/여가/취미,0
동작구,놀이/여가/취미,0
관악구,놀이/여가/취미,0
서초구,놀이/여가/취미,0
강남구,놀이/여가/취미,6
송파구,놀이/여가/취미,3
강동구,놀이/여가/취미,3
종로구,요가/단전/마사지,41
중구,요가/단전/마사지,35
용산구,요가/단전/마사지,31
성동구,요가/단전/마사지,40
광진구,요가/단전/마사지,76
동대문구,요가/단전/마사지,37
중랑구,요가/단전/마사지,19
성북구,요가/단전/마사지,38
강북구,요가/단전/마사지,19
도봉구,요가/단전/마사지,17
노원구,요가/단전/마사지,34
은평구,요가/단전/마사지,32
서대문구,요가/단전/마사지,28
마포구,요가/단전/마사지,49
양천구,요가/단전/마사지,48
강서구,요가/단전/마사지,103
구로구,요가/단전/마사지,35
금천구,요가/단전/마사지,12
영등포구,요가/단전/마사지,65
동작구,요가/단전/마사지,38
관악구,요가/단전/마사지,61
서초구,요가/단전/마사지,121
강남구,요가/단전/마사지,230
송파구,요가/단전/마사지,78
강동구,요가/단전/마사지,55
종로구,PC/오락/당구/볼링등,87
중구,PC/오락/당구/볼링등,94
용산구,PC/오락/당구/볼링등,101
성동구,PC/오락/당구/볼링등,79
광진구,PC/오락/당구/볼링등,198
동대문구,PC/오락/당구/볼링등,148
중랑구,PC/오락/당구/볼링등,115
성북구,PC/오락/당구/볼링등,98
강북구,PC/오락/당구/볼링등,89
도봉구,PC/오락/당구/볼링등,64
노원구,PC/오락/당구/볼링등,116
은평구,PC/오락/당구/볼링등,93
서대문구,PC/오락/당구/볼링등,77
마포구,PC/오락/당구/볼링등,78
양천구,PC/오락/당구/볼링등,107
강서구,PC/오락/당구/볼링등,176
구로구,PC/오락/당구/볼링등,99
금천구,PC/오락/당구/볼링등,90
영등포구,PC/오락/당구/볼링등,124
동작구,PC/오락/당구/볼링등,98
관악구,PC/오락/당구/볼링등,160
서초구,PC/오락/당구/볼링등,162
강남구,PC/오락/당구/볼링등,308
송파구,PC/오락/당구/볼링등,174
강동구,PC/오락/당구/볼링등,140
종로구,스포츠/운동,1
중구,스포츠/운동,1
용산구,스포츠/운동,1
성동구,스포츠/운동,0
광진구,스포츠/운동,3
동대문구,스포츠/운동,1
중랑구,스포츠/운동,1
성북구,스포츠/운동,2
강북구,스포츠/운동,1
도봉구,스포츠/운동,0
노원구,스포츠/운동,3
은평구,스포츠/운동,1
서대문구,스포츠/운동,1
마포구,스포츠/운동,0
양천구,스포츠/운동,1
강서구,스포츠/운동,5
구로구,스포츠/운동,3
금천구,스포츠/운동,0
영등포구,스포츠/운동,0
동작구,스포츠/운동,0
관악구,스포츠/운동,1
서초구,스포츠/운동,1
강남구,스포츠/운동,0
송파구,스포츠/운동,1
강동구,스포츠/운동,2
종로구,경마/경륜/성인오락,7
중구,경마/경륜/성인오락,3
용산구,경마/경륜/성인오락,28
성동구,경마/경륜/성인오락,8
광진구,경마/경륜/성인오락,19
동대문구,경마/경륜/성인오락,15
중랑구,경마/경륜/성인오락,16
성북구,경마/경륜/성인오락,1
강북구,경마/경륜/성인오락,1
도봉구,경마/경륜/성인오락,2
노원구,경마/경륜/성인오락,3
은평구,경마/경륜/성인오락,5
서대문구,경마/경륜/성인오락,1
마포구,경마/경륜/성인오락,9
양천구,경마/경륜/성인오락,7
강서구,경마/경륜/성인오락,6
구로구,경마/경륜/성인오락,2
금천구,경마/경륜/성인오락,2
영등포구,경마/경륜/성인오락,7
동작구,경마/경륜/성인오락,3
관악구,경마/경륜/성인오락,10
서초구,경마/경륜/성인오락,8
강남구,경마/경륜/성인오락,17
송파구,경마/경륜/성인오락,17
강동구,경마/경륜/성인오락,6
종로구,무도/유흥/가무,70
중구,무도/유흥/가무,62
용산구,무도/유흥/가무,80
성동구,무도/유흥/가무,86
광진구,무도/유흥/가무,250
동대문구,무도/유흥/가무,114
중랑구,무도/유흥/가무,165
성북구,무도/유흥/가무,75
강북구,무도/유흥/가무,134
도봉구,무도/유흥/가무,74
노원구,무도/유흥/가무,127
은평구,무도/유흥/가무,112
서대문구,무도/유흥/가무,76
마포구,무도/유흥/가무,85
양천구,무도/유흥/가무,84
강서구,무도/유흥/가무,183
구로구,무도/유흥/가무,133
금천구,무도/유흥/가무,81
영등포구,무도/유흥/가무,121
동작구,무도/유흥/가무,66
관악구,무도/유흥/가무,151
서초구,무도/유흥/가무,149
강남구,무도/유흥/가무,231
송파구,무도/유흥/가무,212
강동구,무도/유흥/가무,173
종로구,연극/영화/극장,36
중구,연극/영화/극장,8
용산구,연극/영화/극장,9
성동구,연극/영화/극장,0
광진구,연극/영화/극장,10
동대문구,연극/영화/극장,2
중랑구,연극/영화/극장,4
성북구,연극/영화/극장,15
강북구,연극/영화/극장,3
도봉구,연극/영화/극장,5
노원구,연극/영화/극장,7
은평구,연극/영화/극장,3
서대문구,연극/영화/극장,8
마포구,연극/영화/극장,11
양천구,연극/영화/극장,0
강서구,연극/영화/극장,2
구로구,연극/영화/극장,4
금천구,연극/영화/극장,4
영등포구,연극/영화/극장,3
동작구,연극/영화/극장,7
관악구,연극/영화/극장,12
서초구,연극/영화/극장,30
강남구,연극/영화/극장,50
송파구,연극/영화/극장,1
강동구,연극/영화/극장,5
종로구,실내운동시설,14
중구,실내운동시설,8
용산구,실내운동시설,13
성동구,실내운동시설,12
광진구,실내운동시설,25
동대문구,실내운동시설,17
중랑구,실내운동시설,13
성북구,실내운동시설,15
강북구,실내운동시설,14
도봉구,실내운동시설,13
노원구,실내운동시설,17
은평구,실내운동시설,18
서대문구,실내운동시설,6
마포구,실내운동시설,28
양천구,실내운동시설,16
강서구,실내운동시설,35
구로구,실내운동시설,14
금천구,실내운동시설,8
영등포구,실내운동시설,23
동작구,실내운동시설,18
관악구,실내운동시설,21
서초구,실내운동시설,36
강남구,실내운동시설,82
송파구,실내운동시설,41
강동구,실내운동시설,18
종로구,실외운동시설,0
중구,실외운동시설,0
용산구,실외운동시설,1
성동구,실외운동시설,1
광진구,실외운동시설,3
동대문구,실외운동시설,0
중랑구,실외운동시설,0
성북구,실외운동시설,2
강북구,실외운동시설,0
도봉구,실외운동시설,0
노원구,실외운동시설,0
은평구,실외운동시설,0
서대문구,실외운동시설,1
마포구,실외운동시설,2
양천구,실외운동시설,2
강서구,실외운동시설,1
구로구,실외운동시설,1
금천구,실외운동시설,0
영등포구,실외운동시설,4
동작구,실외운동시설,0
관악구,실외운동시설,1
서초구,실외운동시설,1
강남구,실외운동시설,6
송파구,실외운동시설,2
강동구,실외운동시설,1
종로구,운영관리시설,1
중구,운영관리시설,2
용산구,운영관리시설,1
성동구,운영관리시설,6
광진구,운영관리시설,1
동대문구,운영관리시설,1
중랑구,운영관리시설,0
성북구,운영관리시설,2
강북구,운영관리시설,3
도봉구,운영관리시설,1
노원구,운영관리시설,2
은평구,운영관리시설,2
서대문구,운영관리시설,2
마포구,운영관리시설,0
양천구,운영관리시설,0
강서구,운영관리시설,3
구로구,운영관리시설,0
금천구,운영관리시설,5
영등포구,운영관리시설,2
동작구,운영관리시설,0
관악구,운영관리시설,1
서초구,운영관리시설,7
강남구,운영관리시설,19
송파구,운영관리시설,4
강동구,운영관리시설,0
종로구,학원-자격/국가고시,15
중구,학원-자격/국가고시,7
용산구,학원-자격/국가고시,9
성동구,학원-자격/국가고시,6
광진구,학원-자격/국가고시,14
동대문구,학원-자격/국가고시,13
중랑구,학원-자격/국가고시,6
성북구,학원-자격/국가고시,7
강북구,학원-자격/국가고시,4
도봉구,학원-자격/국가고시,4
노원구,학원-자격/국가고시,11
은평구,학원-자격/국가고시,8
서대문구,학원-자격/국가고시,3
마포구,학원-자격/국가고시,7
양천구,학원-자격/국가고시,6
강서구,학원-자격/국가고시,11
구로구,학원-자격/국가고시,5
금천구,학원-자격/국가고시,5
영등포구,학원-자격/국가고시,30
동작구,학원-자격/국가고시,32
관악구,학원-자격/국가고시,15
서초구,학원-자격/국가고시,24
강남구,학원-자격/국가고시,39
송파구,학원-자격/국가고시,14
강동구,학원-자격/국가고시,13
종로구,유아교육,79
중구,유아교육,47
용산구,유아교육,83
성동구,유아교육,113
광진구,유아교육,172
동대문구,유아교육,126
중랑구,유아교육,173
성북구,유아교육,170
강북구,유아교육,101
도봉구,유아교육,154
노원구,유아교육,268
은평구,유아교육,195
서대문구,유아교육,89
마포구,유아교육,125
양천구,유아교육,207
강서구,유아교육,233
구로구,유아교육,213
금천구,유아교육,112
영등포구,유아교육,139
동작구,유아교육,136
관악구,유아교육,195
서초구,유아교육,140
강남구,유아교육,185
송파구,유아교육,207
강동구,유아교육,181
종로구,도서관/독서실,47
중구,도서관/독서실,36
용산구,도서관/독서실,27
성동구,도서관/독서실,34
광진구,도서관/독서실,79
동대문구,도서관/독서실,69
중랑구,도서관/독서실,33
성북구,도서관/독서실,55
강북구,도서관/독서실,21
도봉구,도서관/독서실,37
노원구,도서관/독서실,57
은평구,도서관/독서실,48
서대문구,도서관/독서실,54
마포구,도서관/독서실,43
양천구,도서관/독서실,61
강서구,도서관/독서실,71
구로구,도서관/독서실,45
금천구,도서관/독서실,24
영등포구,도서관/독서실,64
동작구,도서관/독서실,128
관악구,도서관/독서실,124
서초구,도서관/독서실,103
강남구,도서관/독서실,206
송파구,도서관/독서실,92
강동구,도서관/독서실,83
종로구,학원기타,96
중구,학원기타,48
용산구,학원기타,71
성동구,학원기타,127
광진구,학원기타,162
동대문구,학원기타,159
중랑구,학원기타,148
성북구,학원기타,176
강북구,학원기타,99
도봉구,학원기타,162
노원구,학원기타,237
은평구,학원기타,202
서대문구,학원기타,121
마포구,학원기타,181
양천구,학원기타,211
강서구,학원기타,193
구로구,학원기타,135
금천구,학원기타,91
영등포구,학원기타,140
동작구,학원기타,118
관악구,학원기타,177
서초구,학원기타,277
강남구,학원기타,468
송파구,학원기타,234
강동구,학원기타,185
종로구,학원-예능취미체육,39
중구,학원-예능취미체육,31
용산구,학원-예능취미체육,21
성동구,학원-예능취미체육,32
광진구,학원-예능취미체육,86
동대문구,학원-예능취미체육,46
중랑구,학원-예능취미체육,51
성북구,학원-예능취미체육,57
강북구,학원-예능취미체육,23
도봉구,학원-예능취미체육,24
노원구,학원-예능취미체육,52
은평구,학원-예능취미체육,50
서대문구,학원-예능취미체육,22
마포구,학원-예능취미체육,42
양천구,학원-예능취미체육,47
강서구,학원-예능취미체육,87
구로구,학원-예능취미체육,65
금천구,학원-예능취미체육,38
영등포구,학원-예능취미체육,70
동작구,학원-예능취미체육,42
관악구,학원-예능취미체육,69
서초구,학원-예능취미체육,108
강남구,학원-예능취미체육,147
송파구,학원-예능취미체육,109
강동구,학원-예능취미체육,74
,a,
