구,업종,수
강북구,별식/퓨전요리,73
도봉구,별식/퓨전요리,52
노원구,별식/퓨전요리,84
은평구,별식/퓨전요리,95
서대문구,별식/퓨전요리,87
마포구,별식/퓨전요리,121
양천구,별식/퓨전요리,77
강서구,별식/퓨전요리,136
구로구,별식/퓨전요리,100
금천구,별식/퓨전요리,87
영등포구,별식/퓨전요리,132
동작구,별식/퓨전요리,69
관악구,별식/퓨전요리,98
서초구,별식/퓨전요리,173
강남구,별식/퓨전요리,262
송파구,별식/퓨전요리,137
강동구,별식/퓨전요리,120
종로구,음식배달서비스,4
중구,음식배달서비스,5
용산구,음식배달서비스,8
성동구,음식배달서비스,3
광진구,음식배달서비스,2
동대문구,음식배달서비스,4
중랑구,음식배달서비스,2
성북구,음식배달서비스,4
강북구,음식배달서비스,5
도봉구,음식배달서비스,3
노원구,음식배달서비스,6
은평구,음식배달서비스,0
서대문구,음식배달서비스,2
마포구,음식배달서비스,6
양천구,음식배달서비스,1
강서구,음식배달서비스,3
구로구,음식배달서비스,5
금천구,음식배달서비스,1
영등포구,음식배달서비스,3
동작구,음식배달서비스,1
관악구,음식배달서비스,4
서초구,음식배달서비스,4
강남구,음식배달서비스,11
송파구,음식배달서비스,10
강동구,음식배달서비스,4
종로구,유흥주점,420
중구,유흥주점,493
용산구,유흥주점,522
성동구,유흥주점,337
광진구,유흥주점,733
동대문구,유흥주점,625
중랑구,유흥주점,526
성북구,유흥주점,417
강북구,유흥주점,411
도봉구,유흥주점,302
노원구,유흥주점,453
은평구,유흥주점,632
서대문구,유흥주점,476
마포구,유흥주점,841
양천구,유흥주점,455
강서구,유흥주점,847
구로구,유흥주점,672
금천구,유흥주점,405
영등포구,유흥주점,822
동작구,유흥주점,380
관악구,유흥주점,786
서초구,유흥주점,764
강남구,유흥주점,1373
송파구,유흥주점,652
강동구,유흥주점,672
종로구,커피점/카페,1165
중구,커피점/카페,995
용산구,커피점/카페,824
성동구,커피점/카페,693
광진구,커피점/카페,909
동대문구,커피점/카페,569
중랑구,커피점/카페,468
성북구,커피점/카페,681
강북구,커피점/카페,334
도봉구,커피점/카페,379
노원구,커피점/카페,632
은평구,커피점/카페,666
서대문구,커피점/카페,814
마포구,커피점/카페,1488
양천구,커피점/카페,577
강서구,커피점/카페,1107
구로구,커피점/카페,642
금천구,커피점/카페,501
영등포구,커피점/카페,1109
동작구,커피점/카페,564
관악구,커피점/카페,748
서초구,커피점/카페,1469
강남구,커피점/카페,2951
송파구,커피점/카페,1125
강동구,커피점/카페,829
종로구,중식,115
중구,중식,140
용산구,중식,104
성동구,중식,104
광진구,중식,180
동대문구,중식,138
중랑구,중식,75
성북구,중식,97
강북구,중식,61
도봉구,중식,68
노원구,중식,118
은평구,중식,120
서대문구,중식,94
마포구,중식,160
양천구,중식,92
강서구,중식,174
구로구,중식,248
금천구,중식,111
영등포구,중식,320
동작구,중식,86
관악구,중식,139
서초구,중식,183
강남구,중식,400
송파구,중식,176
강동구,중식,121
종로구,광고/인쇄,54
중구,광고/인쇄,579
용산구,광고/인쇄,38
성동구,광고/인쇄,75
광진구,광고/인쇄,84
동대문구,광고/인쇄,53
중랑구,광고/인쇄,41
성북구,광고/인쇄,45
강북구,광고/인쇄,18
도봉구,광고/인쇄,19
노원구,광고/인쇄,12
은평구,광고/인쇄,26
서대문구,광고/인쇄,23
마포구,광고/인쇄,57
양천구,광고/인쇄,39
강서구,광고/인쇄,65
구로구,광고/인쇄,51
금천구,광고/인쇄,63
영등포구,광고/인쇄,141
동작구,광고/인쇄,29
관악구,광고/인쇄,51
서초구,광고/인쇄,86
강남구,광고/인쇄,145
송파구,광고/인쇄,59
강동구,광고/인쇄,58
종로구,개인/가정용품수리,40
중구,개인/가정용품수리,66
용산구,개인/가정용품수리,128
성동구,개인/가정용품수리,68
광진구,개인/가정용품수리,119
동대문구,개인/가정용품수리,60
중랑구,개인/가정용품수리,77
성북구,개인/가정용품수리,89
강북구,개인/가정용품수리,39
도봉구,개인/가정용품수리,46
노원구,개인/가정용품수리,60
은평구,개인/가정용품수리,64
서대문구,개인/가정용품수리,50
마포구,개인/가정용품수리,69
양천구,개인/가정용품수리,66
강서구,개인/가정용품수리,93
구로구,개인/가정용품수리,88
금천구,개인/가정용품수리,83
영등포구,개인/가정용품수리,87
동작구,개인/가정용품수리,44
관악구,개인/가정용품수리,123
서초구,개인/가정용품수리,123
강남구,개인/가정용품수리,209
송파구,개인/가정용품수리,130
강동구,개인/가정용품수리,131
종로구,자동차/이륜차,94
중구,자동차/이륜차,160
용산구,자동차/이륜차,140
성동구,자동차/이륜차,260
광진구,자동차/이륜차,229
동대문구,자동차/이륜차,317
중랑구,자동차/이륜차,226
성북구,자동차/이륜차,237
강북구,자동차/이륜차,125
도봉구,자동차/이륜차,143
노원구,자동차/이륜차,142
은평구,자동차/이륜차,150
서대문구,자동차/이륜차,116
마포구,자동차/이륜차,131
양천구,자동차/이륜차,174
강서구,자동차/이륜차,257
구로구,자동차/이륜차,197
금천구,자동차/이륜차,168
영등포구,자동차/이륜차,303
동작구,자동차/이륜차,92
관악구,자동차/이륜차,161
서초구,자동차/이륜차,224
강남구,자동차/이륜차,324
송파구,자동차/이륜차,156
강동구,자동차/이륜차,221
종로구,주유소/충전소,7
중구,주유소/충전소,14
용산구,주유소/충전소,9
성동구,주유소/충전소,16
광진구,주유소/충전소,22
동대문구,주유소/충전소,17
중랑구,주유소/충전소,14
성북구,주유소/충전소,26
강북구,주유소/충전소,8
도봉구,주유소/충전소,20
노원구,주유소/충전소,13
은평구,주유소/충전소,15
서대문구,주유소/충전소,13
마포구,주유소/충전소,10
양천구,주유소/충전소,22
강서구,주유소/충전소,31
구로구,주유소/충전소,16
금천구,주유소/충전소,9
영등포구,주유소/충전소,20
동작구,주유소/충전소,11
관악구,주유소/충전소,10
서초구,주유소/충전소,47
강남구,주유소/충전소,51
송파구,주유소/충전소,15
강동구,주유소/충전소,14
종로구,주택수리,22
중구,주택수리,33
용산구,주택수리,30
성동구,주택수리,26
광진구,주택수리,144
동대문구,주택수리,40
중랑구,주택수리,65
성북구,주택수리,46
강북구,주택수리,25
도봉구,주택수리,38
노원구,주택수리,30
은평구,주택수리,42
서대문구,주택수리,21
마포구,주택수리,30
양천구,주택수리,59
강서구,주택수리,41
구로구,주택수리,61
금천구,주택수리,54
영등포구,주택수리,51
동작구,주택수리,36
관악구,주택수리,70
서초구,주택수리,110
강남구,주택수리,84
송파구,주택수리,70
강동구,주택수리,104
종로구,운송/배달/택배,28
중구,운송/배달/택배,25
용산구,운송/배달/택배,28
성동구,운송/배달/택배,32
광진구,운송/배달/택배,53
동대문구,운송/배달/택배,44
중랑구,운송/배달/택배,64
성북구,운송/배달/택배,49
강북구,운송/배달/택배,45
도봉구,운송/배달/택배,59
노원구,운송/배달/택배,48
은평구,운송/배달/택배,50
서대문구,운송/배달/택배,30
마포구,운송/배달/택배,30
양천구,운송/배달/택배,51
강서구,운송/배달/택배,70
구로구,운송/배달/택배,41
금천구,운송/배달/택배,54
영등포구,운송/배달/택배,59
동작구,운송/배달/택배,41
관악구,운송/배달/택배,51
서초구,운송/배달/택배,38
강남구,운송/배달/택배,63
송파구,운송/배달/택배,52
강동구,운송/배달/택배,55
종로구,예식/의례/관혼상제,25
중구,예식/의례/관혼상제,21
용산구,예식/의례/관혼상제,14
성동구,예식/의례/관혼상제,12
광진구,예식/의례/관혼상제,22
동대문구,예식/의례/관혼상제,21
중랑구,예식/의례/관혼상제,4
성북구,예식/의례/관혼상제,11
강북구,예식/의례/관혼상제,9
도봉구,예식/의례/관혼상제,5
노원구,예식/의례/관혼상제,6
은평구,예식/의례/관혼상제,11
